leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
94,2024-12-06 11:35:00,Low,HL,67.23,-0.23999999999999488,-0.0035571365051133563,Down,0.003
95,2024-12-06 13:55:00,High,HH,67.66,0.4299999999999926,0.006395954187118802,Up,0.003
96,2024-12-06 14:57:00,Low,LL,67.07,-0.5900000000000034,-0.008720070942950131,Down,0.003
97,2024-12-09 03:26:00,High,HH,68.23,1.1600000000000108,0.017295363053526414,Up,0.003
98,2024-12-09 04:50:00,Low,HL,67.9,-0.3299999999999983,-0.004836582148614932,Down,0.003
99,2024-12-09 05:10:00,High,LH,68.14,0.23999999999999488,0.003534609720176718,Up,0.003
100,2024-12-09 05:54:00,Low,HL,67.9,-0.23999999999999488,-0.0035221602582916622,Down,0.003
101,2024-12-09 09:12:00,High,HH,68.38,0.47999999999998977,0.007069219440353214,Up,0.003
102,2024-12-09 09:39:00,Low,HL,68.1,-0.28000000000000114,-0.004094764551038299,Down,0.003
103,2024-12-09 10:42:00,High,HH,68.88,0.7800000000000011,0.011453744493391982,Up,0.003
104,2024-12-09 11:21:00,Low,HL,68.57,-0.3100000000000023,-0.0045005807200929615,Down,0.003
105,2024-12-09 11:28:00,High,LH,68.78,0.21000000000000796,0.0030625638034127434,Up,0.003
106,2024-12-09 11:33:00,Low,LL,68.44,-0.3400000000000034,-0.004943297470194841,Down,0.003
107,2024-12-09 11:44:00,High,HH,68.79,0.3500000000000085,0.005113968439509176,Up,0.003
108,2024-12-09 12:10:00,Low,LL,68.42,-0.37000000000000455,-0.005378688762901596,Down,0.003
109,2024-12-09 13:07:00,High,LH,68.64,0.21999999999999886,0.003215434083601254,Up,0.003
110,2024-12-09 16:18:00,Low,LL,68.1,-0.5400000000000063,-0.00786713286713292,Down,0.003
111,2024-12-09 20:20:00,High,LH,68.36,0.2600000000000051,0.0038179148311308087,Up,0.003
112,2024-12-10 01:03:00,Low,LL,67.91,-0.45000000000000284,-0.006582796957285031,Down,0.003
