leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
101,2024-12-02 14:27:00,High,HH,68.12,0.2400000000000091,0.003535651149086716,Up,0.001
102,2024-12-02 14:28:00,Low,HL,68.04,-0.0799999999999983,-0.0011743981209629828,Down,0.001
103,2024-12-02 14:37:00,High,HH,68.16,0.11999999999999034,0.0017636684303350414,Up,0.001
104,2024-12-02 15:30:00,Low,LL,67.96,-0.20000000000000284,-0.002934272300469498,Down,0.001
105,2024-12-02 16:31:00,High,HH,68.19,0.23000000000000398,0.003384343731606787,Up,0.001
106,2024-12-02 18:45:00,Low,HL,68.1,-0.09000000000000341,-0.0013198416190057793,Down,0.001
107,2024-12-02 20:22:00,High,HH,68.24,0.14000000000000057,0.0020558002936856834,Up,0.001
108,2024-12-02 21:04:00,Low,LL,67.94,-0.29999999999999716,-0.004396248534583758,Down,0.001
109,2024-12-02 21:17:00,High,LH,68.07,0.12999999999999545,0.0019134530468059019,Up,0.001
110,2024-12-02 21:44:00,Low,LL,67.92,-0.14999999999999147,-0.0022036139268398758,Down,0.001
111,2024-12-02 22:08:00,High,LH,68.03,0.10999999999999943,0.0016195524146054296,Up,0.001
112,2024-12-02 22:19:00,Low,HL,67.95,-0.0799999999999983,-0.0011759517859767366,Down,0.001
113,2024-12-02 23:33:00,High,HH,68.22,0.269999999999996,0.003973509933774766,Up,0.001
114,2024-12-02 23:39:00,Low,HL,68.14,-0.0799999999999983,-0.0011726766344180017,Down,0.001
115,2024-12-02 23:51:00,High,LH,68.21,0.06999999999999318,0.0010272967420017487,Up,0.001
116,2024-12-03 00:13:00,Low,LL,68.12,-0.0899999999999892,-0.001319454625421379,Down,0.001
117,2024-12-03 01:50:00,High,HH,68.38,0.2599999999999909,0.003816793893129722,Up,0.001
118,2024-12-03 02:00:00,Low,HL,68.3,-0.0799999999999983,-0.0011699327288681172,Down,0.001
119,2024-12-03 02:07:00,High,HH,68.4,0.10000000000000853,0.0014641288433383526,Up,0.001
120,2024-12-03 02:18:00,Low,LL,68.29,-0.10999999999999943,-0.0016081871345029475,Down,0.001
121,2024-12-03 03:06:00,High,HH,68.57,0.2799999999999869,0.004100161077756459,Up,0.001
122,2024-12-03 03:13:00,Low,HL,68.5,-0.06999999999999318,-0.001020854601137433,Down,0.001
123,2024-12-03 04:00:00,High,HH,68.88,0.37999999999999545,0.005547445255474459,Up,0.001
124,2024-12-03 04:08:00,Low,HL,68.72,-0.1599999999999966,-0.0023228803716608404,Down,0.001
125,2024-12-03 04:30:00,High,HH,68.91,0.18999999999999773,0.0027648428405122605,Up,0.001
126,2024-12-03 04:36:00,Low,HL,68.78,-0.12999999999999545,-0.001886518647511215,Down,0.001
