trade_id,transition_type,direction,from_leg_id,to_leg_id,target_leg_id,entry_time,entry_price,stop_price,stop_distance,target_time,target_price,exit_time,exit_price,exit_reason,holding_minutes,lvn_price_center,lvn_price_min,lvn_price_max,risk_eur,units,pnl_eur,balance_before_trade,balance_after_trade
94,HL_to_HH,short,348,349,353,2024-12-05 14:06:00,68.43,68.28,0.1500000000000056,2024-12-05 14:48:00,68.6,2024-12-05 14:27:00,68.28,stop,21.0,68.44160000000001,68.4248,68.45840000000001,95.32487482926092,635.499165528382,95.32487482926092,10000.0,10562.83739190317
95,LH_to_LL,long,351,352,356,2024-12-05 14:39:00,68.42,68.46,0.039999999999992,2024-12-05 15:32:00,68.44,2024-12-05 14:39:00,68.46,stop,0.0,68.44160000000001,68.4248,68.45840000000001,94.37162608096833,2359.290652024677,94.37162608096833,10000.0,10657.209017984138
96,HL_to_HH,short,354,355,359,2024-12-05 15:14:00,68.6,68.52,0.0799999999999983,2024-12-05 16:22:00,68.51,2024-12-05 15:19:00,68.52,stop,5.0,68.6096,68.5928,68.6264,93.42790982015862,1167.8488727520075,93.42790982015862,10000.0,10750.636927804297
97,LH_to_LL,long,357,358,360,2024-12-05 16:06:00,68.48,68.52,0.039999999999992,2024-12-05 16:45:00,68.4,2024-12-05 16:20:00,68.52,stop,14.0,68.44160000000001,68.4248,68.45840000000001,92.49363072195705,2312.340768049386,92.49363072195705,10000.0,10843.130558526254
98,LH_to_LL,long,361,362,366,2024-12-05 18:19:00,68.42,68.47,0.0499999999999971,2024-12-05 21:02:00,68.02,2024-12-05 19:01:00,68.47,stop,42.0,68.44160000000001,68.4248,68.45840000000001,91.56869441473746,1831.3738882948535,91.56869441473746,10000.0,10934.699252940993
99,HL_to_HH,short,364,365,369,2024-12-05 19:04:00,68.45,68.38,0.0700000000000073,2024-12-06 00:04:00,68.35,2024-12-05 19:59:00,68.38,stop,55.0,68.44160000000001,68.4248,68.45840000000001,90.65300747059008,1295.0429638654357,90.65300747059008,10000.0,11025.352260411582
100,HL_to_HH,short,368,369,371,2024-12-06 00:06:00,68.32,68.25,0.0699999999999931,2024-12-06 01:21:00,68.39,2024-12-06 00:31:00,68.25,stop,25.0,68.30720000000001,68.2904,68.32400000000001,89.74647739588418,1282.0925342270418,89.74647739588418,10000.0,11115.098737807466
101,HL_to_HH,short,370,371,379,2024-12-06 01:37:00,68.31,68.25,0.0600000000000022,2024-12-06 04:09:00,68.21,2024-12-06 02:00:00,68.25,stop,23.0,68.30720000000001,68.2904,68.32400000000001,88.84901262192534,1480.8168770320328,88.84901262192534,10000.0,11203.947750429392
102,LH_to_LL,long,373,374,376,2024-12-06 03:51:00,68.12,68.37,0.25,2024-12-06 03:57:00,68.02,2024-12-06 03:57:00,68.02,target,6.0,68.1392,68.1224,68.156,87.96052249570609,351.84208998282435,-35.184208998285435,10000.0,11168.763541431106
103,LH_to_LL,long,377,378,382,2024-12-06 04:06:00,68.09,68.1,0.0099999999999909,2024-12-06 04:21:00,67.97,2024-12-06 04:06:00,68.1,stop,0.0,68.072,68.0552,68.0888,88.31236458568894,8831.236458576926,88.31236458568894,10000.0,11257.075906016795
104,LH_to_LL,long,381,382,384,2024-12-06 04:22:00,67.99,68.06,0.0700000000000073,2024-12-06 04:46:00,67.97,2024-12-06 04:27:00,68.06,stop,5.0,67.97120000000001,67.9544,67.98800000000001,87.42924093983206,1248.989156283183,87.42924093983206,10000.0,11344.505146956626
105,LH_to_LL,long,385,386,388,2024-12-06 05:16:00,67.92,68.11,0.1899999999999977,2024-12-06 06:03:00,67.56,2024-12-06 06:03:00,67.56,target,47.0,67.90400000000001,67.8872,67.92080000000001,86.55494853043375,455.5523606864989,-163.99884984713933,10000.0,11180.506297109487
107,HL_to_HH,short,390,391,393,2024-12-06 06:41:00,67.71,67.59,0.1199999999999903,2024-12-06 07:29:00,67.81,2024-12-06 06:49:00,67.59,stop,8.0,67.70240000000001,67.68560000000001,67.71920000000001,88.19493702890513,734.9578085742686,88.19493702890513,10000.0,11268.701234138392
106,LH_to_LL,long,387,388,392,2024-12-06 06:32:00,67.67,67.98,0.3100000000000023,2024-12-06 07:16:00,67.58,2024-12-06 07:16:00,67.58,target,44.0,67.70240000000001,67.68560000000001,67.71920000000001,88.19493702890513,284.4997968674338,-25.60498171807001,10000.0,11243.096252420322
108,HL_to_HH,short,394,395,399,2024-12-06 07:44:00,67.79,67.73,0.0600000000000022,2024-12-06 08:29:00,67.71,2024-12-06 07:46:00,67.73,stop,2.0,67.76960000000001,67.75280000000001,67.78640000000001,87.56903747579678,1459.483957929891,87.56903747579678,10000.0,11330.665289896118
